threads,nx,nt,iters_cg,iters_newton,timespent
8,64,100,1007,301,0.0176579
8,64,100,1007,301,0.0170866
8,64,100,1007,301,0.0186061
8,64,100,1007,301,0.0189609
8,64,100,1007,301,0.0175564
8,64,100,1007,301,0.0173082
8,64,100,1007,301,0.0165285
8,64,100,1007,301,0.0186488
8,64,100,1007,301,0.0192082
8,64,100,1007,301,0.0168662
8,64,100,1007,301,0.0180879
8,64,100,1007,301,0.0252672
8,64,100,1007,301,0.0163857
8,64,100,1007,301,0.0163714
16,64,100,1007,301,21.7416
16,64,100,1007,301,1.95082
16,64,100,1007,301,0.0176587
16,64,100,1007,301,5.76166
16,64,100,1007,301,0.0241884
16,64,100,1007,301,43.1099
16,64,100,1007,301,34.7217
16,64,100,1007,301,0.018029
16,64,100,1007,301,33.5331
16,64,100,1007,301,0.0162247
16,64,100,1007,301,0.0162806
16,64,100,1007,301,36.1478
16,64,100,1007,301,0.0179206
16,64,100,1007,301,37.0599
16,64,100,1007,301,0.0173765
16,64,100,1007,301,72.4489
16,64,100,1007,301,0.0309105
16,64,100,1007,301,0.0269941
16,64,100,1007,301,43.3
16,64,100,1007,301,61.1498
16,64,100,1007,301,40.0999
16,64,100,1007,301,0.0163035
16,64,100,1007,301,28.8899
16,64,100,1007,301,0.0193312
16,64,100,1007,301,0.0164711
16,64,100,1007,301,0.0222089
16,64,100,1007,301,0.01851
16,64,100,1007,301,0.0423237
16,64,100,1007,301,0.0163727
16,64,100,1007,301,0.0228923
16,64,100,1007,301,0.0160565
16,64,100,1007,301,0.0186902
16,64,100,1007,301,0.0174109
16,64,100,1007,301,62.4409
16,64,100,1007,301,0.0170692
16,64,100,1007,301,11.7132
16,64,100,1007,301,0.0266599
16,64,100,1007,301,26.3483
16,64,100,1007,301,0.0258281
16,64,100,1007,301,0.0181739
16,64,100,1007,301,0.0177315
16,64,100,1007,301,0.0170279
16,64,100,1007,301,0.130642
16,64,100,1007,301,0.0214332
16,64,100,1007,301,0.0164685
16,64,100,1007,301,0.0254561
16,64,100,1007,301,0.0656315
16,64,100,1007,301,0.0394017
16,64,100,1007,301,0.0176309
16,64,100,1007,301,0.200083
1,128,100,1513,300,0.172945
1,128,100,1513,300,0.231003
1,128,100,1513,300,0.172029
1,128,100,1513,300,0.173942
1,128,100,1513,300,0.17341
1,128,100,1513,300,0.173494
1,128,100,1513,300,0.17279
1,128,100,1513,300,0.173616
1,128,100,1513,300,0.173111
1,128,100,1513,300,0.173288
1,128,100,1513,300,0.172189
1,128,100,1513,300,0.173472
1,128,100,1513,300,0.230517
1,128,100,1513,300,0.230433
1,128,100,1513,300,0.228981
1,128,100,1513,300,0.23481
1,128,100,1513,300,0.232312
1,128,100,1513,300,0.230554
1,128,100,1513,300,0.229678
1,128,100,1513,300,0.230326
1,128,100,1513,300,0.229578
1,128,100,1513,300,0.232094
1,128,100,1513,300,0.230591
1,128,100,1513,300,0.230528
1,128,100,1513,300,0.229308
1,128,100,1513,300,0.231643
1,128,100,1513,300,0.232453
1,128,100,1513,300,0.231583
1,128,100,1513,300,0.231142
1,128,100,1513,300,0.228147
1,128,100,1513,300,0.231208
1,128,100,1513,300,0.230089
1,128,100,1513,300,0.232017
1,128,100,1513,300,0.172706
1,128,100,1513,300,0.172447
1,128,100,1513,300,0.172685
1,128,100,1513,300,0.17163
1,128,100,1513,300,0.172819
1,128,100,1513,300,0.172392
1,128,100,1513,300,0.182828
1,128,100,1513,300,0.228342
1,128,100,1513,300,0.175054
1,128,100,1513,300,0.171663
1,128,100,1513,300,0.171217
1,128,100,1513,300,0.172948
1,128,100,1513,300,0.179248
1,128,100,1513,300,0.158855
1,128,100,1513,300,0.157835
1,128,100,1513,300,0.15696
1,128,100,1513,300,0.159034
2,128,100,1512,300,0.0829661
2,128,100,1512,300,0.110799
2,128,100,1512,300,0.0919636
2,128,100,1512,300,0.0908988
2,128,100,1512,300,0.090635
2,128,100,1512,300,0.0900364
2,128,100,1512,300,0.110254
2,128,100,1512,300,0.0904521
2,128,100,1512,300,0.112616
2,128,100,1512,300,0.0906738
2,128,100,1512,300,0.0913714
2,128,100,1512,300,0.0902982
2,128,100,1512,300,0.0905131
2,128,100,1512,300,0.102318
2,128,100,1512,300,0.09127
2,128,100,1512,300,0.0915857
2,128,100,1512,300,0.111449
2,128,100,1512,300,0.0904817
2,128,100,1512,300,0.0915351
2,128,100,1512,300,0.0917008
2,128,100,1512,300,0.0901805
2,128,100,1512,300,0.0902919
2,128,100,1512,300,0.110843
2,128,100,1512,300,0.0905631
2,128,100,1512,300,0.090542
2,128,100,1512,300,0.111518
2,128,100,1512,300,0.0908625
2,128,100,1512,300,0.0909175
2,128,100,1512,300,0.0929216
2,128,100,1512,300,0.111553
2,128,100,1512,300,0.0908185
2,128,100,1512,300,0.112357
2,128,100,1512,300,0.0909506
2,128,100,1512,300,0.111235
2,128,100,1512,300,0.09034
2,128,100,1512,300,0.0917939
2,128,100,1512,300,0.111725
2,128,100,1512,300,0.111181
2,128,100,1512,300,0.0904965
2,128,100,1512,300,0.11147
2,128,100,1512,300,0.090656
2,128,100,1512,300,0.112105
2,128,100,1512,300,0.0905525
2,128,100,1512,300,0.0911132
2,128,100,1512,300,0.110661
2,128,100,1512,300,0.0905796
2,128,100,1512,300,0.0915465
2,128,100,1512,300,0.0911432
2,128,100,1512,300,0.0907191
2,128,100,1512,300,0.0907925
4,128,100,1513,300,0.0751883
4,128,100,1513,300,0.060548
4,128,100,1513,300,0.0707915
4,128,100,1513,300,0.0783186
4,128,100,1513,300,0.0810828
4,128,100,1513,300,0.0825546
4,128,100,1513,300,0.0772847
4,128,100,1513,300,0.0653514
4,128,100,1513,300,0.0731819
4,128,100,1513,300,0.0793547
4,128,100,1513,300,0.0799102
4,128,100,1513,300,0.0753471
4,128,100,1513,300,0.0639303
4,128,100,1513,300,0.0723099
4,128,100,1513,300,0.0818362
4,128,100,1513,300,0.0671165
4,128,100,1513,300,0.0812012
4,128,100,1513,300,0.0790919
4,128,100,1513,300,0.0850323
4,128,100,1513,300,0.0769999
4,128,100,1513,300,0.0723498
4,128,100,1513,300,0.0580703
4,128,100,1513,300,0.0766876
4,128,100,1513,300,0.0657806
4,128,100,1513,300,0.0661861
4,128,100,1513,300,0.0781639
4,128,100,1513,300,0.0773796
4,128,100,1513,300,0.0778386
4,128,100,1513,300,0.0769927
4,128,100,1513,300,0.0778124
4,128,100,1513,300,0.0819659
4,128,100,1513,300,0.0778949
4,128,100,1513,300,0.0827214
4,128,100,1513,300,0.0708736
4,128,100,1513,300,0.078483
4,128,100,1513,300,0.0640424
4,128,100,1513,300,0.0817595
4,128,100,1513,300,0.0650331
4,128,100,1513,300,0.0792196
4,128,100,1513,300,0.0806696
4,128,100,1513,300,0.0772376
4,128,100,1513,300,0.0774742
4,128,100,1513,300,0.0780602
4,128,100,1513,300,0.0662739
4,128,100,1513,300,0.0839332
4,128,100,1513,300,0.0780069
4,128,100,1513,300,0.0790553
4,128,100,1513,300,0.0812834
4,128,100,1513,300,0.0649545
4,128,100,1513,300,0.0783147
8,128,100,1514,300,0.0421787
8,128,100,1514,300,0.0391875
8,128,100,1514,300,0.0414986
8,128,100,1514,300,0.0431671
8,128,100,1514,300,0.0436922
8,128,100,1514,300,0.0476034
8,128,100,1514,300,0.0452158
8,128,100,1514,300,0.0468151
8,128,100,1514,300,0.0399768
8,128,100,1514,300,0.043676
8,128,100,1514,300,0.0412058
8,128,100,1514,300,0.0433418
8,128,100,1514,300,0.046192
8,128,100,1514,300,0.0424931
8,128,100,1514,300,0.0427736
8,128,100,1514,300,0.0414849
8,128,100,1514,300,0.0437645
8,128,100,1514,300,0.045263
8,128,100,1514,300,0.0447574
8,128,100,1514,300,0.0420199
8,128,100,1514,300,0.0423874
8,128,100,1514,300,0.044777
8,128,100,1514,300,0.0421593
8,128,100,1514,300,0.0467647
8,128,100,1514,300,0.0463342
8,128,100,1514,300,0.0407987
8,128,100,1514,300,0.043449
8,128,100,1514,300,0.0419407
8,128,100,1514,300,0.0452181
8,128,100,1514,300,0.0426816
8,128,100,1514,300,0.0443474
8,128,100,1514,300,0.0414588
8,128,100,1514,300,0.0448101
8,128,100,1514,300,0.0429576
8,128,100,1514,300,0.0408713
8,128,100,1514,300,0.0424512
8,128,100,1514,300,0.0400573
8,128,100,1514,300,0.0490449
8,128,100,1514,300,0.0538336
8,128,100,1514,300,0.0447295
8,128,100,1514,300,0.0451486
8,128,100,1514,300,0.0421607
8,128,100,1514,300,0.0389729
8,128,100,1514,300,0.044959
8,128,100,1514,300,0.048068
8,128,100,1514,300,0.0424058
8,128,100,1514,300,0.043507
8,128,100,1514,300,0.041771
8,128,100,1514,300,0.0472519
8,128,100,1514,300,0.0451971
16,128,100,1513,300,0.859857
16,128,100,1513,300,0.032041
16,128,100,1513,300,0.0411793
16,128,100,1513,300,0.0314383
16,128,100,1513,300,0.04
16,128,100,1513,300,0.0309276
16,128,100,1513,300,0.889283
16,128,100,1513,300,0.0327159
16,128,100,1513,300,0.0313942
16,128,100,1513,300,0.0304964
16,128,100,1513,300,0.0301383
16,128,100,1513,300,0.0428186
16,128,100,1513,300,0.0326801
16,128,100,1513,300,0.0553801
16,128,100,1513,300,0.0524246
16,128,100,1513,300,0.251648
16,128,100,1513,300,0.0303035
16,128,100,1513,300,0.0308625
